KENCode,Description,BaseCost,PredictedAvgTime
Κ14Μβ,"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία, με σοβαρού ή μετρίου βαθμού συνυπάρχουσες παθήσεις-επιπλοκές",1991,4
Κ14Χ,"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές",1277,2
Κ15Μ,Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με τοποθέτηση ενδοπρόθεσης (stent) με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2728,4
Κ15Χ,Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με τοποθέτηση ενδοπρόθεσης (stent) χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2013,2
Κ16Μ,Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς τοποθέτηση ενδοπρόθεσης (stent) με συνυπάρχουσες παθήσεις-επιπλοκές,1531,3
Κ16Χ,Επεμβατικές μέθοδοι στα στεφανιαία χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς τοποθέτηση ενδοπρόθεσης (stent) χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1118,2
Κ17Μ,Τοποθέτηση ή αντικατάσταση γεννήτριας βηματοδότη με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2892,5
Κ17Χ,Τοποθέτηση ή αντικατάσταση γεννήτριας βηματοδότη χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2617,1
Κ18Μ,Λοιπές επεμβάσεις με βηματοδότη με συνυπάρχουσες παθήσεις-επιπλοκές,2226,7
Κ18Χ,Λοιπές επεμβάσεις με βηματοδότη χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1146,2
Κ19Α,Διαδερμικές ενδοαγγειακές καρδιακές επεμβάσεις,3194,3
Κ20Α,Απολίνωση φλέβας,760,1
Κ21Μ,Λοιπές επεμβάσεις νοσημάτων κυκλοφορικού με συνυπάρχουσες παθήσεις-επιπλοκές,3680,15
Κ21Χ,Λοιπές επεμβάσεις νοσημάτων κυκλοφορικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1494,4
Κ22Α,Αορτικά Βαλβιδοφόρα Μοσχεύματα,7753,15
Κ30Μ,Νοσήματα κυκλοφορικού με μηχανική υποστήριξη αναπνοής (αναπνευστήρα) με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,6295,11
Κ30Χ,Νοσήματα κυκλοφορικού με μηχανική υποστήριξη αναπνοής (αναπνευστήρα) χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4470,6
Κ31Μ,Νοσήματα κυκλοφορικού με ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2038,8
Κ31Χ,παθήσεις-επιπλοκές του κυκλοφορικού με ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1183,4
Κ32Α,"παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική, την ίδια ημέρα",1043,1
Κ32Μ,παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2062,8
Κ32Χ,παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1089,3
Κ33Α,Διάγνωση κυκλοφορικού με μη επεμβατικό μηχανικό αερισμό,3132,13
Κ40Μ,Διαταραχές κυκλοφορικού με ΟΕΜ χωρίς διαγνωστική επεμβατική καρδιακή τεχνική με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2000,10
Κ40Χ,Διαταραχές κυκλοφορικού με ΟΕΜ χωρίς διαγνωστική επεμβατική καρδιακή τεχνική χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,794,3
Κ41Μ,Λοιμώδης ενδοκαρδίτιδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4801,22
Κ41Χ,Λοιμώδης ενδοκαρδίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2397,12
Κ42Μ,Καρδιακή ανεπάρκεια και καταπληξία (SCHOCK) με καταστροφικές συνυπάρχουσες παθήσεις,2054,10
Κ42Χ,Καρδιακή ανεπάρκεια και καταπληξία (SCHOCK) χωρίς καταστροφικές συνυπάρχουσες παθήσεις,934,5
Κ43Μ,Φλεβοθρόμβωση με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1471,8
Κ33Χ,Φλεβοθρόμβωση χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,669,5
Κ34Μ,Δερματικά έλκη σε παθήσεις-επιπλοκές κυκλοφορικού με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2233,13
Κ34Χ,Δερματικά έλκη σε παθήσεις-επιπλοκές κυκλοφορικού χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,981,5
Κ35Μ,Περιφερική αγγειοπάθεια με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1502,7
Κ35Χ,Περιφερική αγγειοπάθεια χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,521,2
Κ36Μ,Αθηρωμάτωση στεφανιαίων αρτηριών με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,957,5
Κ36Χ,Αθηρωμάτωση στεφανιαίων αρτηριών χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,374,2
Κ37Μ,Αρτηριακή υπέρταση με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1198,6
Κ37Χ,Αρτηριακή υπέρταση χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,459,2
Κ38Μ,Συγγενής καρδιοπάθεια με συνυπάρχουσες παθήσεις-επιπλοκές,1284,4
Κ38Χ,Συγγενής καρδιοπάθεια χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,627,1
Κ39Μ,Βαλβιδοπάθειες με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1268,6
Κ39Χ,Βαλβιδοπάθειες χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,327,2
Κ42Μ,Ασταθής στηθάγχη με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,942,4
Κ42Χ,Ασταθής στηθάγχη χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,467,2
Κ43Μ,Συγκοπή και λιποθυμία με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1113,6
Κ43Χ,Συγκοπή και λιποθυμία χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,397,2
Κ44Α,Θωρακικό άλγος,311,1
Κ45Μα,Λοιπές παθήσεις-επιπλοκές κυκλοφορικού με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2428,10
Κ45Μβ,Λοιπές παθήσεις-επιπλοκές κυκλοφορικού με μετρίου ή σοβαρού βαθμού συνυπάρχουσες παθήσεις-επιπλοκές,1019,4
Κ45Χ,Λοιπές παθήσεις-επιπλοκές κυκλοφορικού χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,521,2
Κ46Μ,"Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",1245,6
Κ46Χ,"Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",444,2
Κ47Α,Κατάλυση αρρυθμιογόνων εστιών,2423,6
Π01Μ,Εκτομή ορθού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6489,18
Π01Χ,Εκτομή ορθού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3857,9
Π02Μ,Μείζονες επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5741,17
Π02Χ,Μείζονες επεμβάσεις λεπτού και παχέος εντέρου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2771,8
Π03Μ,"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδακτύλου με κακοήθεια ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",6908,17
Π03Χα,"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια και σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές",2826,8
Π03Χβ,"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",1813,4
Π04Μα,Λύση περιτοναϊκών συμφύσεων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4847,16
Π04Μβ,Λύση περιτοναϊκών συμφύσεων με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,2710,9
Π04Χ,Λύση περιτοναϊκών συμφύσεων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1578,4
Π05Μα,Μικρές επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3329,12
Π05Μβ,Μικρές επεμβάσεις λεπτού και παχέος εντέρου με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,2085,7
Π05Χ,Μικρές επεμβάσεις λεπτού και παχέος εντέρου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1379,4
Π06Α,Επεμβάσεις πυλορομυοτομής,1037,3
Π07Μ,Σκωληκοειδεκτομή με κακοήθεια ή περιτονίτιδα ή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1550,5
Π07Χ,Σκωληκοειδεκτομή χωρίς κακοήθεια ή περιτονίτιδα ή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,983,2
Π10Μ,"Επεμβάσεις κηλών (βουβωνοκήλες, ομφαλοκήλες κτλ) με συνυπάρχουσες παθήσεις - επιπλοκές",1697,5
Π10Χ,"Επεμβάσεις κηλών (βουβωνοκήλες, ομφαλοκήλες κτλ) χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",868,1
Π11Α,Επεμβάσεις που αφορούν κωλοστομίες και πρωκτό,566,2
Π12Μα,Λοιπές Επεμβάσεις πεπτικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4177,16
Π12Μβ,Λοιπές Επεμβάσεις πεπτικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1932,7
Π12Χ,Λοιπές Επεμβάσεις πεπτικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,967,3
Π26Μ,Συνδυασμένη γαστροσκόπιση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3338,14
Π26Χ,Συνδυασμένη γαστροσκόπιση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1245,5
Π26Α,"Συνδυασμένη γαστροσκόπιση, την ίδια ημέρα",330,1
Π27Μ,Λοιπές επεμβάσεις γαστροσκόπισης με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2521,12
Π27Χ,Λοιπές επεμβάσεις γαστροσκόπισης χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,988,4
Π27Α,"Λοιπές επεμβάσεις γαστροσκόπισης, την ίδια ημέρα",265,1
Π28Μ,Κολονοσκόπιση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2062,10
Π28Χ,Κολονοσκόπιση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,872,4
Π28Α,"Κολονοσκόπιση, την ίδια ημέρα",290,1
Π40Μ,Κακοήθεια του γαστρεντερικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1673,9
Π40Χ,Κακοήθεια του γαστρεντερικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,677,4
Π41Μ,Αιμορραγία γαστρεντερικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1027,5
Π41Χ,Αιμορραγία γαστρεντερικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,412,2
Π42Α,Επιπεπλεγμένο πεπτικό έλκος,1097,5
Π43Α,Μη επιπεπλεγμένο πετικό έλκος,335,2
Π44Μ,Φλεγμονώδης νόσος εντέρου με συνυπάρχουσες παθήσεις - επιπλοκές,1097,5
Π44Χ,Φλεγμονώδης νόσος εντέρου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1073,2
Π45Μ,Απόφραξη γαστρεντερικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1338,7
Π45Χ,Απόφραξη γαστρεντερικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,623,3
Π46Α,Κοιλιακός πόνος ή μεσεντερική αδενίτιδα,327,2
Π47Μ,Οισοφαγίτιδα και γαστρεντερίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1121,5
Π47Χ,Οισοφαγίτιδα και γαστρεντερίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,335,2
Π50Μ,Διάγνωση άλλων παθήσεων του πεπτικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1136,6
Π50Χ,Διάγνωση άλλων παθήσεων του πεπτικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,374,2
Η01Μ,"Αναστομώσεις πυλαίας-κάτω κοίλης, επεμβάσεις παγκρέατος, ήπατος και παρακάμψεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",7916,19
Η01Χ,"Αναστομώσεις πυλαίας-κάτω κοίλης, επεμβάσεις παγκρέατος, ήπατος και παρακάμψεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",3682,7
Η02Μα,Μείζονες επεμβάσεις χοληφόρων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5111,17
Η02Μβ,Μείζονες επεμβάσεις χοληφόρων με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2578,9
Η02Χ,Μείζονες επεμβάσεις χοληφόρων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2079,6
Η05Μ,Διαγνωστικές ηπατοχολικές παρεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4533,14
Η05Χ,Διαγνωστικές ηπατοχολικέςπαρεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1393,4
Η06Μ,Λοιπές Διαγνωστικές ηπατοχολικές χειρουργικές παρεμβάσεις και παρεμβάσεις παγκρέατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4646,19
Η06Χ,Λοιπές Διαγνωστικές ηπατοχολικές χειρουργικές παρεμβάσεις και παρεμβάσεις παγκρέατος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1556,5
Η07Μ,Ανοιχτή χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4299,14
Η07Χ,Ανοιχτή χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2037,6
Η08Μ,Λαπαρασκοπική χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2111,6
Η08Χ,Λαπαρασκοπική χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1273,2
Η20Μ,Ενδοσκοπικές επεμβάσεις για αιμορραγία κιρσων του οισοφάγου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3561,11
Η20Χ,Ενδοσκοπικές επεμβάσεις για αιμορραγία κιρσων του οισοφάγου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1517,5
Η23Μ,Ενδοσκοπική παλίνδρομη χολαγειοπαγκρεατογραφία με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2552,11
Η23Χ,Ενδοσκοπική παλίνδρομη χολαγειοπαγκρεατογραφία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,786,3
Η40Μα,Κίρρωση και αλκοολική ηπατίτιδα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2654,12
Η40Μβ,Κίρρωση και αλκοολική ηπατίτιδα με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,965,5
Η40Χ,Κίρρωση και αλκοολική ηπατίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,366,2
Η41Μ,Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1930,9
Η41Χ,Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,872,4
Η42Μ,Διαταραχές παγκρέατος χωρίς κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1938,8
Η42Χ,Διαταραχές παγκρέατος χωρίς κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,708,3
Η43Μ,"Διαταραχές ήπατος χωρίς κακοήθεια, Κύρωση, αλκοολική ηπατίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",1813,8
Η43Χ,"Διαταραχές ήπατος χωρίς κακοήθεια, Κύρωση, αλκοολική ηπατίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",521,2
Η44Μ,Δαταραχές των χοληφόρων με συνυπάρχουσες παθήσεις - επιπλοκές,1198,6
Η44Χ,Δαταραχές των χοληφόρων με/ χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,436,2
Μ01Μ,Αμφοτερόπλευρες/Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων με αναθεώρηση ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,14020,25
Μ01Χ,Αμφοτερόπλευρες/ Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων χωρίς αναθεώρηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,9606,7
Μ02Μ,Μεταφορά μικροαγγειούμενου ιστικού μοσχεύματος ή (Δερματικό μόσχευμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές) εξαιρουμένης άκρας χείρας,9110,27
Μ02Χ,"Δερματικό μόσχευμα (κρημνός) χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές, εξαιρουμένης άκρας χείρας",3430,8
Μ03Μ,Αντικατάσταση ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6307,15
Μ03Χ,Αντικατάσταση ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6411,7
Μ04Μ,Αντικατάσταση γόνατος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,7042,9
Μ04Χ,Αντικατάσταση γόνατος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,6611,6
Μ05Μ,Αντικατάσταση άλλων αρθρώσεων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,7705,11
Μ05Χ,Αντικατάσταση άλλων αρθρώσεων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,6101,5
Μ06Α,Σπονδυλοδεσία με παραμόρφωση,19980,9
Μ07Α,Ακρωτηριασμός,5235,21
Μ08Μ,Λοιπές επεμβάσεις ισχίου και μηριαίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4449,17
Μ08Χ,Λοιπές επεμβάσεις ισχίου και μηριαίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3014,9
Μ09Μ,Σπονδυλοδεσία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,14720,18
Μ09Χ,Σπονδυλοδεσία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,9783,7
Μ10Μ,Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3391,10
Μ10Χ,Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1908,4
Μ11Α,Επεμβάσεις διατατικής επιμηκύνσεως άκρων,4045,4
Μ12Μα,Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με σοβαρής και μέτριας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,5478,24
Μ12Μβ,Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2993,14
Μ12Χ,Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1665,6
Μ13Μ,"Επεμβάσεις βραχιονίου, κνήμης, περόνης και αστραγάλου με συνυπάρχουσες παθήσεις - επιπλοκές",3893,11
Μ13Χ,"Επεμβάσεις Βραχιονίου, κνήμης, περόνης και αστραγάλου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",2083,4
Μ15Α,Κρανιοπροσωπικές επεμβάσεις,3761,6
Μ16Α,Λοιπές επεμβάσεις ώμου,1588,2
Μ17Μ,Γναθοπροσωπικές επεμβάσεις με συνυπάρχουσες παθήσεις - επιπλοκές,2708,3
Μ17Χ,Γναθοπροσωπικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1764,2
Μ18Α,Λοιπές επεμβάσεις γόνατος,743,1
Μ19Μ,Λοιπές επεμβάσεις αγκώνος και αντιβραχίου με συνυπάρχουσες παθήσεις - επιπλοκές,2648,6
Μ19Χ,Λοιπές επεμβάσεις αγκώνος και αντιβραχίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1904,2
Μ20Α,Λοιπές επεμβάσεις άκρου ποδός,1286,2
Μ21Α,Τοπική Εκτομή και Αφαίρεση υλικών εσωτερικής οστεοσύνθεσης ισχίου και μηριαίου,1052,2
Μ23Α,Τοπική εκτομή και αφαίρεση υλικών εσωτερικής οστεοσύνθεσης εκτός ισχίου και μηριαίου,661,1
Μ24Α,Αρθροσκόπηση,710,1
Μ25Μ,Διαγνωστικές επεμβάσεις οστών και αρθρώσεων συμπεριλαμβανομένης βιοψίας με συνυπάρχουσες παθήσεις - επιπλοκές,2864,11
Μ25Χ,Διαγνωστικές επεμβάσεις οστών και αρθρώσεων συμπεριλαμβανομένης βιοψίας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1260,3
Μ27Μ,Επεμβάσεις μαλακών μορίων με συνυπάρχουσες παθήσεις - επιπλοκές,2179,9
Μ27Χ,Επεμβάσεις μαλακών μορίων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,902,2
Μ28Μ,Λοιπές επεμβάσεις μυοσκελετικού με συνυπάρχουσες παθήσεις - επιπλοκές,2639,11
Μ28Χ,Λοιπές επεμβάσεις μυοσκελετικού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1379,2
Μ29Α,Ανακατασκευή ή αναθεώρηση πρόθεσης γόνατος,1903,1
Μ30Α,Επεμβάσεις χειρός,891,1
Μ31Μ,Επανεπεμβαση Ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,11675,23
Μ31Χ,Επανεπεμβαση Ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,8533,11
Μ32Μα,Επανεπεμβαση γόνατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,12912,27
Μ32Μβ,Επανεπεμβαση γόνατος με συνυπάρχουσες παθήσεις - επιπλοκές,9963,12
Μ32Χ,Επανεπεμβαση γόνατος χωρίς καταστροφικές η συνυπάρχουσες παθήσεις - επιπλοκές,9147,9
Μ60Α,Κατάγματα διάφυσης μηριαίου,1720,7
Μ61Μ,Κατάγματα περιφερικού μηριαίου με συνυπάρχουσες παθήσεις - επιπλοκές,2210,13
Μ61Χ,Κατάγματα περιφερικού μηριαίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,856,4
Μ63Μ,"Θλάσεις, διαστρέμματα και εξαρθρώματα Ισχίου, Λεκάνης και Μηρού με συνυπάρχουσες παθήσεις - επιπλοκές",1198,7
Μ63Χ,"Θλάσεις, διαστρέμματα και εξαρθρώματα Ισχίου, Λεκάνης και Μηρού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",444,2
Μ64Μ,Οστεομυελίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2669,15
Μ64Χ,Οστεομυελίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1175,8
Μ65Μ,Κακοήθεις νεοπλασματικοί όγκοι μυοσκελετικού με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2560,12
Μ65Χ,Κακοήθεις νεοπλασματικοί όγκοι μυοσκελετικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1222,5
Μ66Μ,Φλεγμονώδεις παθήσεις μυοσκελετικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2436,10
Μ66Χ,Φλεγμονώδεις παθήσεις μυοσκελετικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,652,2
