DrugID,Name,Route,AuthCountry,AuthHolder,MasterFileLocation,Email
6045,"Alyostal Prick Atkák allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6046,"Alyostal Prick Atkák allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6047,"Alyostal Prick Atkák allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6048,"Alyostal Prick Atkák allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6049,"Alyostal Prick Atkák allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6050,Alyostal Prick Controle Negatif,Cutaneous Use,France,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6051,Alyostal Prick Controle Positif,Cutaneous Use,France,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6052,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6053,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6054,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6055,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6056,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6057,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6058,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6059,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6060,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6061,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6062,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6063,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6064,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6065,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6066,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6067,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6068,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6069,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6070,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6071,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6072,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6073,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6074,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6075,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6076,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6077,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6078,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6079,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6080,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6081,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6082,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6083,Alyostal Prick Élelmiszerek,Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6084,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6085,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6086,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6087,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6088,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6089,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6090,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6091,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6092,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6093,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6094,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6095,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6096,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6097,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6098,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6099,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6100,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6101,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6102,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6103,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6104,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6105,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6106,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6107,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6108,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6109,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6110,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6111,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6112,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6113,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6114,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6115,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6116,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6117,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6118,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6119,"Alyostal Prick Élelmiszerek Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6120,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6121,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6122,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6123,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6124,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6125,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6126,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6127,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6128,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6129,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6130,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6131,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6132,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6133,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6134,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6135,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6136,"Alyostal Prick Élelmiszerek Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6137,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6138,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6139,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6140,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6141,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6142,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6143,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6144,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6145,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6146,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6147,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6148,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6149,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6150,"Alyostal Prick Élelmiszerek allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6151,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6152,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6153,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6154,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6155,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6156,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6157,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6158,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6159,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6160,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6161,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6162,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6163,"Alyostal Prick Élelmiszerek|allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6164,Alyostal Prick Na Diagnostické Účely,Cutaneous Use,Slovakia,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6165,Alyostal Prick Neigiama Kontrolė,Cutaneous Use,Lithuania,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6166,"Alyostal Prick Növényi Eredetu Allergének Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6167,"Alyostal Prick Növényi Eredetu Allergének Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6168,"Alyostal Prick Növényi Eredetu Allergének Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6169,"Alyostal Prick Növényi Eredetu Allergének Oldat Allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6170,"Alyostal Prick Növényi Eredetu Allergének allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
6171,"Alyostal Prick Növényi Eredetu Allergének allergén Kivonatot Tartalmazó Oldatok, Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére",Cutaneous Use,Hungary,Stallergenes,France,service.pharmacovigilance@stallergenesgreer.com
